timestamp,device_id,temperature_1,humidity,light_lux,soil_moisture
2026-02-12 | 14:17,ESP32_GH_01,32.3,64.2,5.833333,0
2026-02-12 | 14:17,ESP32_GH_01,32.3,64.1,5.833333,0
2026-02-12 | 14:17,ESP32_GH_01,32.3,64.2,5.833333,0
2026-02-12 | 14:17,ESP32_GH_01,32.3,64.1,5.833333,0
2026-02-12 | 14:17,ESP32_GH_01,32.2,64.1,5.833333,0
2026-02-12 | 14:17,ESP32_GH_01,32.3,64.2,5,0
2026-02-12 | 14:18,ESP32_GH_01,32.2,64.2,5,0
2026-02-12 | 14:18,ESP32_GH_01,32.3,64.1,5,0
2026-02-12 | 14:35,ESP32_GH_01,31.9,64.5,3.333333,0
2026-02-12 | 14:35,ESP32_GH_01,31.9,64.6,3.333333,0
2026-02-12 | 14:35,ESP32_GH_01,31.9,64.7,3.333333,0
2026-02-12 | 14:35,ESP32_GH_01,31.9,64.7,3.333333,0
2026-02-12 | 14:35,ESP32_GH_01,31.9,64.7,3.333333,0
2026-02-12 | 14:35,ESP32_GH_01,31.9,64.6,4.166667,0
2026-02-12 | 14:35,ESP32_GH_01,31.9,64.5,4.166667,0
2026-02-12 | 14:35,ESP32_GH_01,31.9,64.4,4.166667,0
2026-02-13 | 11:18,ESP32_GH_01,28.6,79.5,8.333333,0
2026-02-13 | 11:18,ESP32_GH_01,28.6,79.3,10,0
2026-02-13 | 11:18,ESP32_GH_01,28.6,79.3,9.166666,0
2026-02-13 | 11:18,ESP32_GH_01,28.6,79.2,8.333333,0
2026-02-13 | 11:18,ESP32_GH_01,28.6,79.1,9.166666,0
2026-02-13 | 11:18,ESP32_GH_01,28.6,79,8.333333,0
2026-02-13 | 11:18,ESP32_GH_01,28.6,79.1,9.166666,0
2026-02-13 | 11:19,ESP32_GH_01,28.6,79.1,9.166666,0
2026-02-13 | 11:19,ESP32_GH_01,28.7,79,8.333333,0
2026-02-13 | 11:19,ESP32_GH_01,28.7,79.2,9.166666,0
2026-02-13 | 11:19,ESP32_GH_01,28.7,79,7.5,0
2026-02-13 | 11:19,ESP32_GH_01,28.7,79,9.166666,0
2026-02-13 | 11:19,ESP32_GH_01,28.7,79,9.166666,0
2026-02-13 | 11:19,ESP32_GH_01,28.7,78.9,8.333333,0
2026-02-13 | 11:19,ESP32_GH_01,28.7,78.9,8.333333,0
2026-02-13 | 11:19,ESP32_GH_01,28.7,78.7,8.333333,0
2026-02-13 | 11:19,ESP32_GH_01,28.7,78.7,8.333333,0
2026-02-13 | 11:19,ESP32_GH_01,28.7,78.6,9.166666,0
2026-02-13 | 11:19,ESP32_GH_01,28.7,78.7,9.166666,0
2026-02-13 | 11:20,ESP32_GH_01,28.7,78.7,8.333333,0
2026-02-13 | 11:20,ESP32_GH_01,28.7,78.6,9.166666,0
2026-02-13 | 11:20,ESP32_GH_01,28.7,78.6,9.166666,0
2026-02-13 | 11:20,ESP32_GH_01,28.7,78.6,9.166666,0
2026-02-13 | 11:20,ESP32_GH_01,28.7,78.6,9.166666,0
2026-02-13 | 11:20,ESP32_GH_01,28.7,78.7,9.166666,0
2026-02-13 | 11:20,ESP32_GH_01,28.7,78.7,9.166666,0
2026-02-13 | 11:20,ESP32_GH_01,28.7,78.7,10,0
2026-02-13 | 11:20,ESP32_GH_01,28.7,78.6,10,0
2026-02-13 | 11:20,ESP32_GH_01,28.7,78.6,9.166666,0
2026-02-13 | 11:20,ESP32_GH_01,28.7,78.6,10,0
2026-02-13 | 11:20,ESP32_GH_01,28.7,78.6,11.66667,0
2026-02-13 | 11:21,ESP32_GH_01,28.7,78.6,10.83333,0
2026-02-13 | 11:21,ESP32_GH_01,28.7,78.6,10.83333,0
2026-02-13 | 11:21,ESP32_GH_01,28.7,78.5,10,0
2026-02-13 | 11:21,ESP32_GH_01,28.7,78.5,10.83333,0
2026-02-13 | 11:21,ESP32_GH_01,28.7,78.7,10.83333,0
2026-02-13 | 11:21,ESP32_GH_01,28.7,78.8,11.66667,0
2026-02-13 | 11:21,ESP32_GH_01,28.7,78.8,11.66667,0
2026-02-13 | 11:21,ESP32_GH_01,28.8,78.8,11.66667,0
2026-02-13 | 11:21,ESP32_GH_01,28.8,78.7,11.66667,0
2026-02-13 | 11:21,ESP32_GH_01,28.8,78.6,11.66667,0
2026-02-13 | 11:21,ESP32_GH_01,28.8,78.8,11.66667,0
2026-02-13 | 11:22,ESP32_GH_01,28.8,78.6,11.66667,0
2026-02-13 | 11:22,ESP32_GH_01,28.8,78.7,11.66667,0
2026-02-13 | 11:22,ESP32_GH_01,28.8,78.8,10.83333,0
2026-02-13 | 11:22,ESP32_GH_01,28.8,78.8,11.66667,0
2026-02-13 | 11:34,ESP32_GH_01,29.1,76.2,7.5,0
2026-02-13 | 11:34,ESP32_GH_01,29.1,76.1,7.5,0
2026-02-13 | 11:34,ESP32_GH_01,29.1,76.1,7.5,0
2026-02-13 | 11:35,ESP32_GH_01,29.1,76.1,7.5,0
2026-02-13 | 11:35,ESP32_GH_01,29.2,76.2,7.5,0
2026-02-13 | 11:35,ESP32_GH_01,29.2,76.1,7.5,0
2026-02-13 | 11:35,ESP32_GH_01,29.2,76.2,7.5,0
2026-04-22 | 17:51,ESP32_GH_01,32.4,79.7,3.333333,0
2026-04-22 | 17:51,ESP32_GH_01,32.4,79.6,2.5,0
2026-04-22 | 17:51,ESP32_GH_01,32.4,79.8,2.5,0
2026-04-22 | 17:52,ESP32_GH_01,32.4,80.1,2.5,0
2026-04-22 | 17:52,ESP32_GH_01,32.4,80.1,3.333333,0
2026-04-22 | 17:52,ESP32_GH_01,32.4,80.2,3.333333,0
2026-04-22 | 17:52,ESP32_GH_01,32.4,80.1,3.333333,0
2026-04-22 | 17:52,ESP32_GH_01,32.4,79.7,803.3333,0
